family,q,hold,n,mean_bp,pf,t,per_day,folds_pos,mean15_bp,adj_bp,long_n,short_n,pass_rel,pass_std
F13_cvd_div,0.9,12,289,-39.55925725809615,0.7708316599328433,-1.6114192956698852,0.7961432506887053,1,-49.55925725809616,-37.85727799519573,147,142,False,False
F13_cvd_div,0.95,12,171,-6.908559674474285,0.9578500213188736,-0.23178590593291978,0.47107438016528924,2,-16.908559674474283,-7.917351345155495,84,87,False,False
F13_cvd_div,0.98,12,85,0.6471808177287427,1.0034816755398999,0.010839172950194221,0.23415977961432508,2,-9.35281918227126,-5.545878760384943,39,46,False,False
F14_flushout,0.8,12,0,,,,0.0,0,,,0,0,False,False
F14_flushout,0.9,12,0,,,,0.0,0,,,0,0,False,False
F14_flushout,0.95,12,0,,,,0.0,0,,,0,0,False,False
F14_flushout,0.98,12,0,,,,0.0,0,,,0,0,False,False
F15_fund_fade,0.8,8,693,-35.732656701549566,0.736157993299125,-2.921881058001151,1.9090909090909092,0,-45.73265670154957,-29.870802443358063,143,550,False,False
F15_fund_fade,0.9,8,644,-31.613249613244,0.7625192015705319,-2.543929302987432,1.7741046831955922,0,-41.613249613244015,-25.080052494360952,93,551,False,False
F15_fund_fade,0.95,8,617,-27.61704963632547,0.7860251201681289,-2.184335954843792,1.699724517906336,1,-37.617049636325476,-20.47758029528841,65,552,False,False
F15_fund_fade,0.98,8,602,-27.864923190881814,0.7848985821924457,-2.1468445774055276,1.6584022038567494,1,-37.86492319088181,-20.17171342352986,48,554,False,False
F16_fund_follow,0.8,8,693,-4.267343298450436,0.9640428926434325,-0.34726136537767843,1.9090909090909092,3,-14.267343298450438,-10.129197556641937,550,143,False,False
F16_fund_follow,0.9,8,644,-8.386750386756,0.9303935364613178,-0.6700276239064133,1.7741046831955922,3,-18.386750386756002,-14.919947505639058,551,93,False,False
F16_fund_follow,0.95,8,617,-12.38295036367453,0.8972269943848414,-0.9714845508648482,1.699724517906336,3,-22.382950363674528,-19.5224197047116,552,65,False,False
F16_fund_follow,0.98,8,602,-12.135076809118194,0.8994067818691832,-0.9291343878801378,1.6584022038567494,3,-22.135076809118196,-19.828286576470152,554,48,False,False
F17_fund3_exh,0.8,8,519,-17.370933488131925,0.8575547080487826,-1.3681689410128273,1.4297520661157024,1,-27.370933488131925,-13.21543183914853,155,364,False,False
F17_fund3_exh,0.9,8,461,-12.790093741250693,0.8942795950632054,-0.9330350293312178,1.2699724517906337,2,-22.790093741250697,-8.368269512817106,99,362,False,False
F17_fund3_exh,0.95,8,443,-17.80180677079876,0.8500971441560432,-1.2920789208151326,1.2203856749311295,2,-27.801806770798763,-12.530814049031422,79,364,False,False
F17_fund3_exh,0.98,8,422,-24.344513430804515,0.7992765732264377,-1.760173480054546,1.162534435261708,2,-34.34451343080452,-18.478513227954256,58,364,False,False
F18_oi_follow,0.8,12,548,-14.551989626293606,0.9082773028507761,-0.7909497913984559,1.5096418732782368,1,-24.55198962629361,-15.327963147306857,178,370,False,False
