tf,family,q,hold_bars,n,mean_bp,pf,t,per_day,folds_pos,mean15_bp,adj_bp,pass_rel,pass_std
1m,F17_fund3_exh|clock,0.997222,480,368,-8.656548301193151,0.9195123123003309,-0.6469990139245152,1.0137741046831956,1,-18.65654830119316,-3.82298387100321,False,False
1m,F18_oi_follow|bars,0.999653,12,98,-69.55271995141506,0.4788293288580604,-2.1933945192832898,0.2699724517906336,1,-79.55271995141506,-69.33148769084534,False,False
1m,F18_oi_follow|bars,0.999306,12,179,-60.122923376164245,0.4861999953430512,-3.1679547189796224,0.4931129476584022,0,-70.12292337616424,-59.986390104731065,False,False
1m,F18_oi_follow|bars,0.998611,12,340,-46.91444188977401,0.5400226299761944,-4.375839414224155,0.9366391184573003,0,-56.91444188977401,-46.83244618925967,False,False
1m,F18_oi_follow|bars,0.997222,12,593,-32.01767323167042,0.616945227689175,-5.094477279188867,1.6336088154269972,0,-42.017673231670415,-31.970533743472807,False,False
1m,F18_oi_follow|clock,0.999653,720,58,-0.15043120831009854,0.9992769838436465,-0.002078831905703191,0.15977961432506887,2,-10.150431208310106,12.168874206563892,False,False
1m,F18_oi_follow|clock,0.999306,720,90,-94.14463833633754,0.6216896491526924,-1.7597188033745872,0.24793388429752067,2,-104.14463833633755,-83.90008079797792,False,False
1m,F18_oi_follow|clock,0.998611,720,148,-43.41969807170301,0.8100780672303405,-0.9784234195286494,0.40771349862258954,2,-53.419698071703024,-37.40128843377923,False,False
1m,F18_oi_follow|clock,0.997222,720,216,-34.889101038498936,0.8323727175541784,-0.9517995371823517,0.5950413223140496,3,-44.889101038498936,-31.71642833518192,False,False
1m,F19_oi_flush|bars,0.999653,12,11,-133.1663830109659,0.012085973287308493,-2.552537402464105,0.030303030303030304,1,-143.1663830109659,-133.13486267739327,False,False
1m,F19_oi_flush|bars,0.999306,12,25,-133.79229046225376,0.10954528500287695,-3.2799529717741676,0.06887052341597796,1,-143.79229046225373,-133.90578993813102,False,False
1m,F19_oi_flush|bars,0.998611,12,50,-142.35674575701373,0.03868374881599949,-3.5055878493424024,0.13774104683195593,0,-152.35674575701373,-142.549631059216,False,False
1m,F19_oi_flush|bars,0.997222,12,104,-123.65962202399379,0.12809232885683314,-5.99261175368926,0.2865013774104683,0,-133.65962202399382,-123.85699023693012,False,False
1m,F19_oi_flush|clock,0.999653,720,10,209.7299860048251,2.203010845516274,0.9396182489199771,0.027548209366391185,2,199.72998600482512,207.85269382585415,False,False
1m,F19_oi_flush|clock,0.999306,720,21,172.66454319563093,1.9559045770297916,1.1625977879246585,0.05785123966942149,4,162.66454319563096,162.91719433511494,False,False
1m,F19_oi_flush|clock,0.998611,720,34,-91.52922371279999,0.6432834342786068,-1.0105316738602466,0.09366391184573003,1,-101.5292237128,-103.4076905521267,False,False
1m,F19_oi_flush|clock,0.997222,720,65,-125.0880665410609,0.5308679964188985,-1.8055456187117065,0.1790633608815427,1,-135.0880665410609,-134.37584609536782,False,False
1m,F20_btc_lead|bars,0.999653,4,291,-31.64867210453673,0.38593298427479156,-4.0080334963822155,0.8016528925619835,0,-41.64867210453673,-31.658046960916188,False,False
1m,F20_btc_lead|bars,0.999306,4,519,-24.913107749583435,0.44707834367005417,-5.699035401707716,1.4297520661157024,0,-34.91310774958344,-24.90724994568943,False,False
1m,F20_btc_lead|bars,0.998611,4,944,-20.60092423611651,0.4545812267884418,-6.155876122976738,2.600550964187328,0,-30.600924236116505,-20.599959351385852,False,False
1m,F20_btc_lead|bars,0.997222,4,1821,-21.017080688201293,0.4031585169158129,-9.870507634937217,5.016528925619835,0,-31.017080688201286,-21.02355768427191,False,False
1m,F20_btc_lead|clock,0.999653,240,144,6.057359543681771,1.051329032457716,0.19854916166740388,0.39669421487603307,4,-3.9426404563182267,4.977102811942249,False,False
1m,F20_btc_lead|clock,0.999306,240,214,1.5129421740081894,1.012840089334935,0.06715573323670757,0.5895316804407713,3,-8.487057825991817,2.815424237442296,False,False
1m,F20_btc_lead|clock,0.998611,240,327,1.1441870689453773,1.0097164335368987,0.058612393539046126,0.9008264462809917,2,-8.855812931054622,1.8221985116951842,False,False
1m,F20_btc_lead|clock,0.997222,240,484,-11.52513638618714,0.8977153565345881,-0.7903680767281356,1.3333333333333333,1,-21.525136386187143,-11.266570597120364,False,False
1m,F21_rs_follow|bars,0.999653,12,74,-62.90169701939932,0.3846505373438611,-3.963894658129925,0.20385674931129477,0,-72.90169701939932,-63.00130833793438,False,False
