fw,id,name,tr_n,tr_pf,tr_mean,tr_t,va_n,va_pf,va_mean,va_t,tr_pd,va_pd,std,rel,tr_only_rel
r6_orthogonal_alphas,1512,Flushout15_H8_SL9,3,19.54,343.6,0.99,0,0.0,0.0,0.0,0.01098901098901099,0.0,False,False,False
r6_orthogonal_alphas,1513,Flushout15_H12_SL5,3,999.0,413.4,1.45,0,0.0,0.0,0.0,0.01098901098901099,0.0,False,False,False
r6_orthogonal_alphas,1514,Flushout15_H12_SL7,3,999.0,546.7,1.31,0,0.0,0.0,0.0,0.01098901098901099,0.0,False,False,False
r6_orthogonal_alphas,1515,Flushout15_H12_SL9,3,999.0,680.0,1.23,0,0.0,0.0,0.0,0.01098901098901099,0.0,False,False,False
r6_orthogonal_alphas,1516,Flushout15_H18_SL5,3,999.0,680.9,3.69,0,0.0,0.0,0.0,0.01098901098901099,0.0,False,False,False
r6_orthogonal_alphas,1517,Flushout15_H18_SL7,3,999.0,814.3,2.69,0,0.0,0.0,0.0,0.01098901098901099,0.0,False,False,False
r6_orthogonal_alphas,1518,Flushout15_H18_SL9,3,999.0,947.6,2.2,0,0.0,0.0,0.0,0.01098901098901099,0.0,False,False,False
r6_orthogonal_alphas,1519,TrappedExtreme10_H8_SL5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,False
r6_orthogonal_alphas,1520,TrappedExtreme10_H8_SL7,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,False
r6_orthogonal_alphas,1521,TrappedExtreme10_H8_SL9,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,False
r6_orthogonal_alphas,1522,TrappedExtreme10_H12_SL5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,False
r6_orthogonal_alphas,1523,TrappedExtreme10_H12_SL7,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,False
r6_orthogonal_alphas,1524,TrappedExtreme10_H12_SL9,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,False
r6_orthogonal_alphas,1525,TrappedExtreme10_H18_SL5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,False
r6_orthogonal_alphas,1526,TrappedExtreme10_H18_SL7,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,False
r6_orthogonal_alphas,1527,TrappedExtreme10_H18_SL9,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,False
r6_orthogonal_alphas,1528,TrappedExtreme15_H8_SL5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,False
r6_orthogonal_alphas,1529,TrappedExtreme15_H8_SL7,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,False
r6_orthogonal_alphas,1530,TrappedExtreme15_H8_SL9,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,False
r6_orthogonal_alphas,1531,TrappedExtreme15_H12_SL5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,False
r6_orthogonal_alphas,1532,TrappedExtreme15_H12_SL7,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,False
r6_orthogonal_alphas,1533,TrappedExtreme15_H12_SL9,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,False
r6_orthogonal_alphas,1534,TrappedExtreme15_H18_SL5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,False
r6_orthogonal_alphas,1535,TrappedExtreme15_H18_SL7,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,False
r6_orthogonal_alphas,1536,TrappedExtreme15_H18_SL9,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,False,False
r6_orthogonal_alphas,1537,Flushout_RSI_var1537,2,999.0,623.3,1.12,0,0.0,0.0,0.0,0.007326007326007326,0.0,False,False,False
r6_orthogonal_alphas,1538,Flushout_RSI_var1538,2,999.0,623.3,1.12,0,0.0,0.0,0.0,0.007326007326007326,0.0,False,False,False
r6_orthogonal_alphas,1539,Flushout_RSI_var1539,2,999.0,623.3,1.12,0,0.0,0.0,0.0,0.007326007326007326,0.0,False,False,False
r6_orthogonal_alphas,1540,Flushout_RSI_var1540,2,999.0,623.3,1.12,0,0.0,0.0,0.0,0.007326007326007326,0.0,False,False,False
r6_orthogonal_alphas,1541,Flushout_RSI_var1541,2,999.0,623.3,1.12,0,0.0,0.0,0.0,0.007326007326007326,0.0,False,False,False
r6_orthogonal_alphas,1542,Flushout_RSI_var1542,2,999.0,623.3,1.12,0,0.0,0.0,0.0,0.007326007326007326,0.0,False,False,False
r6_orthogonal_alphas,1543,Flushout_RSI_var1543,2,999.0,623.3,1.12,0,0.0,0.0,0.0,0.007326007326007326,0.0,False,False,False
r6_orthogonal_alphas,1544,Flushout_RSI_var1544,2,999.0,623.3,1.12,0,0.0,0.0,0.0,0.007326007326007326,0.0,False,False,False
r6_orthogonal_alphas,1545,Flushout_RSI_var1545,2,999.0,623.3,1.12,0,0.0,0.0,0.0,0.007326007326007326,0.0,False,False,False
r6_orthogonal_alphas,1546,Flushout_RSI_var1546,2,999.0,623.3,1.12,0,0.0,0.0,0.0,0.007326007326007326,0.0,False,False,False
r6_orthogonal_alphas,1547,Flushout_RSI_var1547,2,999.0,623.3,1.12,0,0.0,0.0,0.0,0.007326007326007326,0.0,False,False,False
