pair,beta_is,corr_is,idio_is,rbstd_is,spread_vol_is,n_is,beta_oos,corr_oos,idio_oos,rbstd_oos,spread_vol_oos,n_oos,liq
HMSTRUSDT,0.7973169903004038,0.5088354118371434,0.7410865236605273,0.3641955738912917,0.010522565724105263,7295,0.7529500111675279,0.30202460282121213,0.9087811392906874,0.3486630526726493,0.015398983321169782,6936,5037458.383975
HOMEUSDT,0.6989991761235275,0.3092186902616217,0.904383801592889,0.18503425768735085,0.014581281406502663,3444,0.3788548127334669,0.14682775580390361,0.978441610125587,0.2613416876123734,0.01653757503642562,6936,5683289.232844
HOOKUSDT,1.0870937068484798,0.5772561467419082,0.6667753410486862,0.12306638151896633,0.011995591808730978,7295,0.6402285258591234,0.4738057240759506,0.775508135832584,1.0087802137860007,0.007710252413213418,6936,2930690.879094
HOTUSDT,0.9810526835796841,0.7337349136270856,0.4616330765246491,0.1157754894334794,0.007086554036814863,7295,0.8154760611650734,0.5424812163762798,0.7057141298789232,0.192081948674097,0.008182390361272437,6936,3150995.098479
HUMAUSDT,0.8054703699869298,0.4050800176597089,0.8359101792928106,0.14865276658463475,0.012287757130792555,3802,0.5183560956684244,0.24824083001203756,0.9383764903149351,0.41688379603257214,0.013106270109198301,6936,9042506.176786
HUSDT,0.668042926339613,0.15493531041401773,0.9759950495869132,0.38978909627384384,0.02836525135724641,3086,0.5023440116408388,0.10077062320923307,0.9898452814980212,0.4427467400296879,0.03213324160065468,6936,25845200.24786
HYPERUSDT,0.9420660201856489,0.3295063191834031,0.8914255856182026,0.27393524347476805,0.018804979959958303,4618,0.873435561465686,0.5006439973924678,0.7493555878748923,0.25719897366456096,0.009785580855670568,6936,5911994.4566
HYPEUSDT,1.0507654300777818,0.6459975396287978,0.5826871787935375,0.12754095237459598,0.00839704299810094,3709,0.8779758394279735,0.5587727870313692,0.6877729724731955,0.14915873255058132,0.008442254886481614,6936,381134783.56491
ICNTUSDT,0.4416316576630455,0.1463288359936559,0.9785878717567413,0.3866063377594366,0.020109017406640776,2890,0.30913607832515344,0.10300544988725978,0.9893898772935252,0.6489952126294068,0.019337336279039285,6936,3733790.87585
ICPUSDT,0.9321903605482272,0.7569122737603878,0.4270838098308794,0.12454721231931445,0.006278401896250752,7295,0.9466100509244585,0.518776298020816,0.7308711526118187,0.22112968839156863,0.010107474651045922,6936,30422556.908
ICXUSDT,0.8639602251128347,0.6769335984218215,0.5417609033276743,0.14225546805970646,0.0073279923530104605,7295,0.84379899661916,0.658092348043695,0.5669144614463263,0.15496228652402128,0.006255265131692838,6936,2512255.79025
IDOLUSDT,0.4673204723173556,0.1458727052222455,0.9787211538711426,0.20856117882039005,0.021384459004428525,2870,0.36886562266263884,0.15182758649166803,0.9769483839801157,0.3742500665094643,0.015558881047945651,6936,2290506.19363
IDUSDT,0.9439858036466392,0.6728305415673408,0.5472990623341992,0.10197489684741967,0.008096654667074175,7295,0.7558644321813849,0.4445295454916802,0.8023934831849632,0.23011208727229152,0.009869092251372788,6936,5026516.54974
ILVUSDT,1.0772829929442587,0.7164480186268531,0.4867022366056587,0.10730096539725527,0.008182957339653131,7295,0.8988614566254991,0.5412822698768318,0.7070135043169906,0.19312193790790863,0.009047296727956615,6936,2452650.1349
IMXUSDT,1.0594932481868722,0.6832502715460314,0.5331690664322777,0.0994431497044506,0.00883251433584755,7295,1.0412092392996795,0.7068995069447989,0.5002930870812017,0.21039156609225873,0.006749590929961864,6936,10918541.0689
INITUSDT,1.1140659450678643,0.4488964423513502,0.7984919840442977,0.11148603303015749,0.01539761923839821,4769,0.7389447613946388,0.3841073604404252,0.8524615356554885,0.41181187948719467,0.01150863173545063,6936,5326349.6105
INJUSDT,1.1505938673317637,0.7451880361062378,0.44469479084412855,0.10043935523239235,0.008031944531006887,7295,1.0360368056693396,0.6417043379313497,0.5882155426800872,0.22860546748633734,0.008023223666722066,6936,56864164.825899996
INUSDT,1.126283126126663,0.26293567961445996,0.9308648283856831,0.12582042864862328,0.028186836277825953,2053,0.6382429249755527,0.2361417729415118,0.9442370630720408,0.20443421957696523,0.01701739409285265,6936,4393653.51194
IOSTUSDT,0.8530907619754192,0.6333988571445094,0.5988058877680299,0.11682150853726486,0.008130073893738885,7295,0.7733659564132855,0.6220318588891,0.6130763665269696,0.17121258975926015,0.006307692284742912,6936,2579172.944464
IOTAUSDT,1.1121350469236435,0.7306764769189438,0.46611188607731785,0.14919233893943934,0.008106081914237012,7295,0.8922098001374782,0.688538512930299,0.5259147162117335,0.1778069410439629,0.0060886922188630975,6936,7700371.90237
IOTXUSDT,0.8217375865418043,0.5167086427355054,0.7330121785224316,0.23893534350211226,0.010621271729959077,7295,0.8048955105106704,0.4916723010561381,0.7582583483741537,0.1870387103027569,0.009236587111839174,6936,3023772.60339
IOUSDT,1.1906912799794491,0.6805934931829876,0.5367924970369757,0.0840917822408766,0.00999880496390543,7295,1.0610969155885888,0.5080041976361673,0.7419317351840303,0.19365431559538074,0.01165760459325629,6936,10963406.35615
IPUSDC,0.6902957125426517,0.33781548561977953,0.8858806976754741,0.1938471019910752,0.014109760161942994,5773,0.9045884417250776,0.4927137747282221,0.7572331361930249,0.3673004340157338,0.010351669122847889,6936,3167272.5074119996
IPUSDT,0.6694317823831412,0.285174247422596,0.9186756486069535,0.21067333853627437,0.017038872668839678,6246,0.9069587967997116,0.49178225355584587,0.7581502150875207,0.3667382862039692,0.01040475574653993,6936,24082678.400546998
JASMYUSDT,1.1214006307610491,0.6955057932868306,0.516271691504454,0.10544606349529392,0.009037175132850446,7295,0.8886207867362566,0.6411382790714645,0.5889417071092814,0.22768513583895972,0.006891677422005672,6936,9299611.260859
JELLYJELLYUSDT,0.7003930959194992,0.22108544545560743,0.9511212258076965,0.47435093997900973,0.022521389507801762,5263,0.3669594790567886,0.10017285869441878,0.9899653983809897,0.43818594440372655,0.023561220386784907,6936,8593482.21987
JOEUSDT,1.0952143643427965,0.7512053989506156,0.43569044858744577,0.08805016187144066,0.0075069400657179295,7295,0.9634304502504585,0.5809131716997081,0.662539886945786,0.14169726928853743,0.008746830097832788,6936,2147756.10449
JSTUSDT,0.3464055660336437,0.4469137042103314,0.8002681409890008,0.1790774059430535,0.0048339649918076304,4478,0.17128078672577168,0.16063486268868682,0.974196440888981,2.01734946516346,0.006819156121057507,6936,3000161.789642
JTOUSDT,0.9810987128886081,0.62724715742364,0.6065610035039669,0.09289355548440532,0.00950265025213818,7295,0.9968290453669721,0.4939514111649461,0.7560120034081579,0.26597173168134924,0.011369437949284949,6936,22044513.9936
JUPUSDT,1.042267762052033,0.6389612709031159,0.5917284942858713,0.08233379528937852,0.009788125059171388,7295,1.0859721721766193,0.7127487723902118,0.49198918745624654,0.1527712935585244,0.006924332018481844,6936,29837383.5312
KAIAUSDT,0.7980194978233291,0.6425765702296032,0.5870953513919633,0.1621806904920128,0.007422948295280385,7295,0.7572350603754866,0.5924072329928753,0.6490536702977285,0.1713980155435572,0.006672543492483907,6936,3983543.0403
KAITOUSDC,0.8724736633111296,0.49179917551357794,0.7581335709641686,0.10208010760967255,0.011332188343577214,5773,0.6503138674512441,0.3405057804287935,0.8840558134945794,0.5184481705457405,0.011635333327760454,6936,2985791.6014400003
KAITOUSDT,0.8021858658573214,0.3876684844786906,0.8497131461419989,0.15150930964204126,0.014531803814267987,6082,0.6519808925594879,0.3400923612043342,0.8843371858504605,0.519340880448099,0.011681203446527458,6936,25677793.73749
KASUSDT,1.0621352102280972,0.6611606398941453,0.5628666082547623,0.15135994600718436,0.00940175772665252,7295,0.8407642291532439,0.6171981850845121,0.6190664003283861,0.2195876685875179,0.006944786951519499,6936,11049879.63962
KAVAUSDT,0.5563250847123438,0.3777983515926952,0.8572684055338425,0.3239967165709538,0.010635563170570505,7295,0.7385544084049119,0.4989226022877479,0.7510762369264323,0.2462216231573331,0.00831243489561049,6936,7473035.36584
